Group,Device,Reading,DateTime
1,14,39.94,21/3/2024 16/32
1,15,20.44,21/3/2024 16/32
1,16,20.25,21/3/2024 16/32
1,18,20.19,21/3/2024 16/32
1,19,20.31,21/3/2024 16/32
1,20,20.12,21/3/2024 16/32
1,21,20.87,21/3/2024 16/32
1,22,20.44,21/3/2024 16/32
2,0,20.75,21/3/2024 16/23
2,1,21.12,21/3/2024 16/23
2,3,21.75,21/3/2024 16/23
2,4,20.44,21/3/2024 16/23
2,5,20.44,21/3/2024 16/23
2,6,20.94,21/3/2024 16/23
2,7,20.81,21/3/2024 16/23
2,8,20.87,21/3/2024 16/23
2,9,20.56,21/3/2024 16/23
2,10,20.81,21/3/2024 16/23
2,11,21.12,21/3/2024 16/23
2,12,20.19,21/3/2024 16/23
2,13,20.69,21/3/2024 16/23
2,14,21.25,21/3/2024 16/23
2,15,21.06,21/3/2024 16/23
2,16,20.5,21/3/2024 16/23
2,17,21.12,21/3/2024 16/23
2,18,20.31,21/3/2024 16/23
2,19,20.69,21/3/2024 16/23
2,20,20.75,21/3/2024 16/23
2,21,20.44,21/3/2024 16/23
2,22,20.25,21/3/2024 16/23
2,0,20.75,21/3/2024 16/24
2,1,21.12,21/3/2024 16/24
2,2,21.12,21/3/2024 16/24
2,3,21.81,21/3/2024 16/24
2,4,20.44,21/3/2024 16/24
2,5,20.37,21/3/2024 16/24
2,6,20.94,21/3/2024 16/24
2,7,20.87,21/3/2024 16/24
2,8,20.87,21/3/2024 16/24
2,9,20.5,21/3/2024 16/24
2,10,20.81,21/3/2024 16/24
2,11,21.12,21/3/2024 16/24
2,12,20.06,21/3/2024 16/24
2,13,20.69,21/3/2024 16/24
2,14,21.25,21/3/2024 16/24
2,15,21.06,21/3/2024 16/24
2,16,20.5,21/3/2024 16/24
2,17,21.12,21/3/2024 16/24
2,18,20.5,21/3/2024 16/24
2,0,20.75,21/3/2024 16/27
2,1,21.19,21/3/2024 16/27
2,2,21.06,21/3/2024 16/27
2,3,21.81,21/3/2024 16/27
2,4,20.44,21/3/2024 16/27
2,5,20.44,21/3/2024 16/27
2,6,20.87,21/3/2024 16/27
2,7,20.94,21/3/2024 16/27
2,8,20.87,21/3/2024 16/27
2,9,20.5,21/3/2024 16/27
2,10,20.81,21/3/2024 16/27
2,11,21.19,21/3/2024 16/27
2,12,20.06,21/3/2024 16/27
2,13,20.62,21/3/2024 16/27
2,14,21.25,21/3/2024 16/27
2,15,21,21/3/2024 16/27
2,16,20.5,21/3/2024 16/27
2,17,21.12,21/3/2024 16/27
2,18,20.37,21/3/2024 16/27
2,19,20.75,21/3/2024 16/27
2,20,20.75,21/3/2024 16/27
2,21,20.37,21/3/2024 16/27
2,0,20.75,21/3/2024 16/28
2,1,21.19,21/3/2024 16/28
2,2,21.19,21/3/2024 16/28
2,3,21.75,21/3/2024 16/28
2,4,20.37,21/3/2024 16/28
2,5,20.44,21/3/2024 16/28
2,6,20.94,21/3/2024 16/28
2,7,20.94,21/3/2024 16/28
2,8,20.87,21/3/2024 16/28
2,9,20.5,21/3/2024 16/28
2,10,20.81,21/3/2024 16/28
2,11,21.12,21/3/2024 16/28
2,12,20.06,21/3/2024 16/28
2,13,20.62,21/3/2024 16/28
2,14,21.25,21/3/2024 16/28
2,15,21.06,21/3/2024 16/28
2,16,20.44,21/3/2024 16/28
2,17,21.12,21/3/2024 16/28
2,18,20.44,21/3/2024 16/28
2,19,20.75,21/3/2024 16/28
2,20,20.75,21/3/2024 16/28
2,21,20.37,21/3/2024 16/28
2,0,20.69,21/3/2024 16/30
2,1,21.12,21/3/2024 16/30
2,2,21.12,21/3/2024 16/30
2,3,21.81,21/3/2024 16/30
2,4,20.44,21/3/2024 16/30
2,5,20.5,21/3/2024 16/30
2,6,20.94,21/3/2024 16/30
2,7,20.94,21/3/2024 16/30
2,8,20.87,21/3/2024 16/30
